Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Plans and Products/Delaware American Life insurance,Firefox 59.0,,2018-04-18 11:06:56,2018-04-18 11:07:06,9.222s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:56,2018-04-18 11:06:59,2.641s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:59,2018-04-18 11:07:00,0.913s,PASSED
click,Firefox 59.0,,2018-04-18 11:07:00,2018-04-18 11:07:01,0.771s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:01,2018-04-18 11:07:03,2.302s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:03,2018-04-18 11:07:04,0.531s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:04,2018-04-18 11:07:04,0.458s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:04,2018-04-18 11:07:05,0.686s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:05,2018-04-18 11:07:05,0.624s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:07:05,2018-04-18 11:07:06,0.208s,PASSED
,,,,,,
Test Cases/Plans and Products/Delta Dental of New York,Firefox 59.0,,2018-04-18 11:07:06,2018-04-18 11:07:16,10.093s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:07:06,2018-04-18 11:07:08,2.622s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:07:08,2018-04-18 11:07:09,0.961s,PASSED
click,Firefox 59.0,,2018-04-18 11:07:09,2018-04-18 11:07:10,0.782s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:10,2018-04-18 11:07:12,2.418s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:12,2018-04-18 11:07:13,0.494s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:13,2018-04-18 11:07:14,0.551s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:14,2018-04-18 11:07:14,0.548s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:14,2018-04-18 11:07:15,0.724s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:15,2018-04-18 11:07:16,0.721s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:07:16,2018-04-18 11:07:16,0.182s,PASSED
,,,,,,
Test Cases/Plans and Products/Dental Health Alliance,Firefox 59.0,,2018-04-18 11:07:16,2018-04-18 11:07:24,7.807s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:07:16,2018-04-18 11:07:19,3.087s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:07:19,2018-04-18 11:07:20,0.925s,PASSED
click,Firefox 59.0,,2018-04-18 11:07:20,2018-04-18 11:07:21,0.807s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:21,2018-04-18 11:07:23,2.288s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:23,2018-04-18 11:07:23,0.394s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:07:23,2018-04-18 11:07:24,0.215s,PASSED
,,,,,,
Test Cases/Plans and Products/DentCare,Firefox 59.0,,2018-04-18 11:07:24,2018-04-18 11:07:31,7.516s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:07:24,2018-04-18 11:07:26,2.629s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:07:26,2018-04-18 11:07:27,0.934s,PASSED
click,Firefox 59.0,,2018-04-18 11:07:27,2018-04-18 11:07:28,0.726s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:28,2018-04-18 11:07:30,2.177s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:30,2018-04-18 11:07:30,0.386s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:07:30,2018-04-18 11:07:31,0.409s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:07:31,2018-04-18 11:07:31,0.171s,PASSED
,,,,,,
Test Cases/Plans and Products/Dentegra,Firefox 59.0,,2018-04-18 11:07:31,2018-04-18 11:07:47,16.214s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:07:31,2018-04-18 11:07:34,2.620s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:07:34,2018-04-18 11:07:35,0.998s,PASSED
